구분,분류,부문,세부 부문,수상인원(추가),URL,작가 UUID,작가명
수상 작가,판매 우수,대상,,1,https://www.idus.com/v2/artist/42d2ac60-6745-443d-9999-90ad78e9d100,42d2ac60-6745-443d-9999-90ad78e9d100,정인당
수상 작가,판매 우수,카테고리 최우수상,공예,1,https://www.idus.com/v2/artist/fe23da0c-5fe9-4377-8679-0dc04ee78acd,fe23da0c-5fe9-4377-8679-0dc04ee78acd,자작나무공방
수상 작가,판매 우수,카테고리 최우수상,식품,1,https://www.idus.com/v2/artist/0eeb869f-ab34-4ab6-a696-1e0430d26c54,0eeb869f-ab34-4ab6-a696-1e0430d26c54,연본당의 수제 전통차 by 연세본초당
수상 작가,판매 우수,카테고리 최우수상,케이스/문구,1,https://www.idus.com/v2/artist/cb954127-4d76-4723-b9ad-74453aa619c3,cb954127-4d76-4723-b9ad-74453aa619c3,숲공방
수상 작가,판매 우수,카테고리 최우수상,패션/액세서리,1,https://www.idus.com/v2/artist/a1f45f66-b63d-4294-99b3-196dabafb4e7,a1f45f66-b63d-4294-99b3-196dabafb4e7,세날다
수상 작가,판매 우수,카테고리 최우수상,홈리빙/뷰티,1,https://www.idus.com/v2/artist/631cf453-3db5-4a5f-9f57-870721267673,631cf453-3db5-4a5f-9f57-870721267673,17아워즈
수상 작가,판매 우수,카테고리 우수상,공예,1,https://www.idus.com/v2/artist/98390f28-b4c0-4888-987a-75e0db5705ec,98390f28-b4c0-4888-987a-75e0db5705ec,일편심(국가무형유산 장도장)
수상 작가,판매 우수,카테고리 우수상,식품,1,https://www.idus.com/v2/artist/99cb6ab8-14ea-48a8-8c25-ee272f8e9ad9,99cb6ab8-14ea-48a8-8c25-ee272f8e9ad9,병아리방앗간
수상 작가,판매 우수,카테고리 우수상,케이스/문구,1,https://www.idus.com/v2/artist/3483695a-6cfc-4405-806c-a28111b32dde,3483695a-6cfc-4405-806c-a28111b32dde,어린아이공방
수상 작가,판매 우수,카테고리 우수상,패션/액세서리,1,https://www.idus.com/v2/artist/7919c411-219f-41ec-9fdb-bc45405d026b,7919c411-219f-41ec-9fdb-bc45405d026b,신디스튜디오(cindystudio)
수상 작가,판매 우수,카테고리 우수상,홈리빙/뷰티,1,https://www.idus.com/v2/artist/26c90516-8409-476e-b022-a9c5e39ddf6a,26c90516-8409-476e-b022-a9c5e39ddf6a,레이문
수상 작가,판매 우수,d special 작가상,공예,1,https://www.idus.com/v2/artist/8a900fe2-b152-452c-aa32-642c334f5834,8a900fe2-b152-452c-aa32-642c334f5834,흙그림
수상 작가,판매 우수,d special 작가상,식품,1,https://www.idus.com/v2/artist/eacceac9-7992-43db-af29-fb383c7fced9,eacceac9-7992-43db-af29-fb383c7fced9,달달한놀이터
수상 작가,판매 우수,d special 작가상,케이스/문구,1,https://www.idus.com/v2/artist/a9a5246d-34b0-4c75-ba1c-89b5c1a05110,a9a5246d-34b0-4c75-ba1c-89b5c1a05110,쿨쿨잠스튜디오
수상 작가,판매 우수,d special 작가상,패션/액세서리,1,https://www.idus.com/v2/artist/02751001-5e7e-4d19-ad21-b3566cca1144,02751001-5e7e-4d19-ad21-b3566cca1144,미미점빵
수상 작가,판매 우수,d special 작가상,홈리빙/뷰티,1,https://www.idus.com/v2/artist/be2c6e0e-9ec4-4a5a-93f7-d82c633d7b0c,be2c6e0e-9ec4-4a5a-93f7-d82c633d7b0c,해피멈머
수상 작가,판매 우수,성장상,공예,1,https://www.idus.com/v2/artist/e9e9b77d-a863-495f-92fb-066cb72d5d6f,e9e9b77d-a863-495f-92fb-066cb72d5d6f,목공하는아빠
수상 작가,판매 우수,성장상,식품,1,https://www.idus.com/v2/artist/363ae59a-9e2b-4afc-9c6f-05075f655444,363ae59a-9e2b-4afc-9c6f-05075f655444,소드락이
수상 작가,판매 우수,성장상,케이스/문구,1,https://www.idus.com/v2/artist/d3ae58fe-4fe2-41d9-8be6-22f90f355e28,d3ae58fe-4fe2-41d9-8be6-22f90f355e28,뜰랑말랑
수상 작가,판매 우수,성장상,패션/액세서리,1,https://www.idus.com/v2/artist/601909e0-6ab3-4174-a33a-b564288ecd9d,601909e0-6ab3-4174-a33a-b564288ecd9d,공방한땀두땀
수상 작가,판매 우수,성장상,홈리빙/뷰티,1,https://www.idus.com/v2/artist/5326b4c0-10d1-4f2b-8647-6cc4eb71ba7e,5326b4c0-10d1-4f2b-8647-6cc4eb71ba7e,명인코스메틱
수상 작가,판매 우수,신인상,공예,1,https://www.idus.com/v2/artist/f360eaea-77ea-4e5e-8357-fdc969b29e42,f360eaea-77ea-4e5e-8357-fdc969b29e42,꽃쟁이의 소꿉놀이터
수상 작가,판매 우수,신인상,식품,1,https://www.idus.com/v2/artist/b25e5f70-0250-4c2c-bafc-3691123663e1,b25e5f70-0250-4c2c-bafc-3691123663e1,아얀다하우스
수상 작가,판매 우수,신인상,케이스/문구,1,https://www.idus.com/v2/artist/25cee04d-d3f9-48d5-9fce-19fd0e4476b7,25cee04d-d3f9-48d5-9fce-19fd0e4476b7,여누즈
수상 작가,판매 우수,신인상,패션/액세서리,1,https://www.idus.com/v2/artist/6410a4f7-59e3-4ce6-b352-3824d871a2c8,6410a4f7-59e3-4ce6-b352-3824d871a2c8,gongambox
수상 작가,판매 우수,신인상,홈리빙/뷰티,1,https://www.idus.com/v2/artist/10e953fb-6221-41cb-a45e-5f76340000db,10e953fb-6221-41cb-a45e-5f76340000db,디브스튜디오
수상 작가,판매 우수,글로벌 최우수상 ,,1,https://www.idus.com/v2/artist/20d77cc8-2ca1-48e3-9cba-5f00655fe5f5,20d77cc8-2ca1-48e3-9cba-5f00655fe5f5,복짐(Bokzim)
수상 작가,판매 우수,글로벌 우수상,,1,https://www.idus.com/v2/artist/70fdb061-ecb0-11e3-954e-06a6fa0000b9,70fdb061-ecb0-11e3-954e-06a6fa0000b9,빈쌤의 빈티지아트샵(빈크레프트)
수상 작가,판매 우수,베스트 선물상,공예,1,https://www.idus.com/v2/artist/fc1a10ac-d67d-11e4-909c-06f4fe0000b5,fc1a10ac-d67d-11e4-909c-06f4fe0000b5,그리다봄
수상 작가,판매 우수,베스트 선물상,식품,1,https://www.idus.com/v2/artist/670ebf4f-df9e-49e6-a221-4c860f5666a0,670ebf4f-df9e-49e6-a221-4c860f5666a0,박판호순천한우
수상 작가,판매 우수,베스트 선물상,케이스/문구,1,https://www.idus.com/v2/artist/d225587f-0bbf-40b4-9c29-effa27632d74,d225587f-0bbf-40b4-9c29-effa27632d74,반달콤
수상 작가,판매 우수,베스트 선물상,패션/액세서리,1,https://www.idus.com/v2/artist/8fdaf8b1-f76f-4ab8-8e8c-988ef8ab51d2,8fdaf8b1-f76f-4ab8-8e8c-988ef8ab51d2,커플링 공작소
수상 작가,판매 우수,베스트 선물상,홈리빙/뷰티,1,https://www.idus.com/v2/artist/38087a84-e6aa-4cc4-98ef-8f3cd1c47137,38087a84-e6aa-4cc4-98ef-8f3cd1c47137,포도웅아
수상 작가,활동 우수,인기상,공예,1,https://www.idus.com/v2/artist/225bb3cb-6d8d-4a96-9e31-d813ccf045e3,225bb3cb-6d8d-4a96-9e31-d813ccf045e3,달사이로
수상 작가,활동 우수,인기상,식품,1,https://www.idus.com/v2/artist/5d461746-da18-4bff-a4ff-4323b04cd20c,5d461746-da18-4bff-a4ff-4323b04cd20c,45번길쿠키
수상 작가,활동 우수,인기상,케이스/문구,1,https://www.idus.com/v2/artist/7a4e09b4-1aa4-4124-a483-3f8d06db3436,7a4e09b4-1aa4-4124-a483-3f8d06db3436,비올레타
수상 작가,활동 우수,인기상,패션/액세서리,1,https://www.idus.com/v2/artist/5f3f78c8-de4e-4a6d-a16c-3266ea61edb7,5f3f78c8-de4e-4a6d-a16c-3266ea61edb7,47베이지
수상 작가,활동 우수,인기상,홈리빙/뷰티,1,https://www.idus.com/v2/artist/ba8935de-9ce5-48b2-9fa9-4b4cf24dd03e,ba8935de-9ce5-48b2-9fa9-4b4cf24dd03e,나크공방
수상 작가,활동 우수,가치상,Contribution (더 나은 세상을 위한 실천),1,https://www.idus.com/v2/artist/8ec145ff-c723-41c8-a589-34ea6eb9aae7,8ec145ff-c723-41c8-a589-34ea6eb9aae7,사회적기업 목화송이협동조합
수상 작가,활동 우수,가치상,Craftsmanship (장인정신),1,https://www.idus.com/v2/artist/afabc169-597b-4801-ab5e-d1801d758e8d,afabc169-597b-4801-ab5e-d1801d758e8d,죽호바람
수상 작가,활동 우수,가치상,Creativity (독창적인 이야기),1,https://www.idus.com/v2/artist/c09729d4-c989-4849-9502-702ca62030b5,c09729d4-c989-4849-9502-702ca62030b5,studio js 스튜디오제이앤에스
수상 작가,활동 우수,가치상,Custom-made (하나뿐인 이야기),1,https://www.idus.com/v2/artist/0789c15c-bfde-443a-b98e-b9221b99e81b,0789c15c-bfde-443a-b98e-b9221b99e81b,이네스야
수상 작가,활동 우수,최우수 소통상,,1,https://www.idus.com/v2/artist/2a696438-7688-4b19-a475-3919bc562bff,2a696438-7688-4b19-a475-3919bc562bff,묘한한땀
수상 작가,활동 우수,우수 소통상,공예,1,https://www.idus.com/v2/artist/68a48267-72e9-4121-a281-e8361e761fa9,68a48267-72e9-4121-a281-e8361e761fa9,아틀리에지 포터메리
수상 작가,활동 우수,우수 소통상,식품,1,https://www.idus.com/v2/artist/d0d24a93-9dff-4b72-85cb-794289984499,d0d24a93-9dff-4b72-85cb-794289984499,티닥
수상 작가,활동 우수,우수 소통상,케이스/문구,1,https://www.idus.com/v2/artist/7d98c1a9-5127-47cf-9b5f-d946717b7136,7d98c1a9-5127-47cf-9b5f-d946717b7136,gomglak(곰지락)
수상 작가,활동 우수,우수 소통상,패션/액세서리,1,https://www.idus.com/v2/artist/4e92458a-a40f-4de9-a027-a31303a50bd1,4e92458a-a40f-4de9-a027-a31303a50bd1,진앤클레어
수상 작가,활동 우수,우수 소통상,홈리빙/뷰티,1,https://www.idus.com/v2/artist/7b7f8aea-9bc9-4620-a353-53fa1fb0282d,7b7f8aea-9bc9-4620-a353-53fa1fb0282d,민앤승
수상 작가,활동 우수,공예 / 디자인상,,1,https://www.idus.com/v2/artist/8af87b5c-aa39-4284-bab2-6041736e517e,8af87b5c-aa39-4284-bab2-6041736e517e,하츠하나
수상 작가,활동 우수,공예 / 디자인상,,1,https://www.idus.com/v2/artist/5cab31c0-7d97-4898-8541-b4660c350d1c,5cab31c0-7d97-4898-8541-b4660c350d1c,TINY BITE
수상 작가,활동 우수,공예 / 디자인상,,1,https://www.idus.com/v2/artist/9572a0ed-7e50-4aaa-94ab-5d51b92deda5,9572a0ed-7e50-4aaa-94ab-5d51b92deda5,레더몹
수상 작가,활동 우수,공예 / 디자인상,,1,https://www.idus.com/v2/artist/3d58ba29-f005-4e9d-abb4-11e03b421d30,3d58ba29-f005-4e9d-abb4-11e03b421d30,아뜰리에 모네
수상 작가,활동 우수,우수 활동상,공로상,1,https://www.idus.com/v2/artist/775661d3-989b-11e4-a0e7-06f4fe0000b5,775661d3-989b-11e4-a0e7-06f4fe0000b5,엠캐슬공방
수상 작가,활동 우수,우수 활동상,다작상,1,https://www.idus.com/v2/artist/66ca13f6-4a2c-45ed-92da-54730de62d86,66ca13f6-4a2c-45ed-92da-54730de62d86,힐링스토리
수상 작가,활동 우수,우수 활동상,우수 교육 작가상,1,https://www.idus.com/v2/artist/93b853bd-3027-4ab8-86c0-3b2edd31d6b4,93b853bd-3027-4ab8-86c0-3b2edd31d6b4,류디저트(ryu dessert)
수상 작가,활동 우수,우수 활동상,단골상,1,https://www.idus.com/v2/artist/e116ed20-1908-41b6-a331-b1bd9b1aa1a4,e116ed20-1908-41b6-a331-b1bd9b1aa1a4,오스트리치 FACTORY
수상 작가,활동 우수,특별상,온기 나눔상,1,https://www.idus.com/v2/artist/f650c8ae-4a8c-4264-b3a7-c8852d494563,f650c8ae-4a8c-4264-b3a7-c8852d494563,몽고미
수상 작가,활동 우수,특별상,POD 작가상,1,https://www.idus.com/v2/artist/bf00b92f-a5e1-4a1f-a83d-227a06220477,bf00b92f-a5e1-4a1f-a83d-227a06220477,Libet(세레스)
수상 작가,활동 우수,특별상,크라우드 펀딩 우수 작가상,1,https://www.idus.com/v2/artist/c677e4f2-e7b6-46a2-bb7f-137e4eecc310,c677e4f2-e7b6-46a2-bb7f-137e4eecc310,브릴리언트레코드
수상 작가,활동 우수,K-힙상,,1,https://www.idus.com/v2/artist/df335702-7c84-4d17-8d8d-f762967825d3,df335702-7c84-4d17-8d8d-f762967825d3,옛.쁨
수상 작가,활동 우수,K-힙상,,1,https://www.idus.com/v2/artist/d11fedcd-d354-4707-acf4-4096b82a833b,d11fedcd-d354-4707-acf4-4096b82a833b,메이드로담
수상 작가,활동 우수,K-힙상,,1,https://www.idus.com/v2/artist/1def4d4f-634a-4046-a44d-be39a3a5bcc5,1def4d4f-634a-4046-a44d-be39a3a5bcc5,청순한호랑이
수상 작가,별작가,별작가 은하수상,,1,https://www.idus.com/v2/artist/49d735a5-43f6-4baf-b90b-8152b4930023,49d735a5-43f6-4baf-b90b-8152b4930023,조림만 30년 효제동조림집
수상 작가,별작가,별작가 베가상,,1,https://www.idus.com/v2/artist/f0c8acac-48f9-47e5-b347-7f25fdac0d3a,f0c8acac-48f9-47e5-b347-7f25fdac0d3a,리베유(LiebeU)
수상 작가,별작가,별작가 시리우스상,,1,https://www.idus.com/v2/artist/973741a6-1aa3-4180-b434-bad47115700d,973741a6-1aa3-4180-b434-bad47115700d,메이버니
수상 작가,IPUS,콜라보 최우수상,,1,https://www.idus.com/v2/artist/273ce334-cc3e-4a71-9086-5992000d66b6,273ce334-cc3e-4a71-9086-5992000d66b6,채원
수상 작가,IPUS,콜라보 우수상,,1,https://www.idus.com/v2/artist/8f9ccb59-1d3f-11e4-8ba2-06f4fe0000b5,8f9ccb59-1d3f-11e4-8ba2-06f4fe0000b5,세이리 SEI LI
수상 작가,IPUS,콜라보 우수상,,1,https://www.idus.com/v2/artist/909a6a90-0fb9-4500-8aee-76aaa08358ed,909a6a90-0fb9-4500-8aee-76aaa08358ed,쓰이고(ssuigo)
수상 작가,IPUS,콜라보 우수상,,1,https://www.idus.com/v2/artist/1fc2d87b-32dc-45e6-80d3-4fe7d9371213,1fc2d87b-32dc-45e6-80d3-4fe7d9371213,식용금박 미인골드
수상 작가,작가 이벤트,마케팅 왕상,,1,https://www.idus.com/v2/artist/7cdb9241-06c9-40d4-9209-05030f2fc4db,7cdb9241-06c9-40d4-9209-05030f2fc4db,보름달 김치
수상 작가,작가 이벤트,만삭으로 출고했상,,1,https://www.idus.com/v2/artist/be7bab62-5435-4499-a464-037174a2121e,be7bab62-5435-4499-a464-037174a2121e,말랑풍선
초청 작가,,,,,https://www.idus.com/v2/artist/4e892745-f075-4d37-a396-39c8d286bfce/product,4e892745-f075-4d37-a396-39c8d286bfce,고래상점
초청 작가,,,,,https://www.idus.com/v2/artist/ca97fa47-82c1-4f66-9e49-c2e2970db16d/product,ca97fa47-82c1-4f66-9e49-c2e2970db16d,그린솔(green솔)
초청 작가,,,,,https://www.idus.com/v2/artist/ffe575f3-afc1-4071-8b1b-b65eaf2a5a76/product,ffe575f3-afc1-4071-8b1b-b65eaf2a5a76,니모
초청 작가,,,,,https://www.idus.com/v2/artist/20dc8fe8-8ee0-4677-8f26-b95aa187eb34/product,20dc8fe8-8ee0-4677-8f26-b95aa187eb34,다나픽코리아
초청 작가,,,,,https://www.idus.com/v2/artist/ff7b18de-3a76-4ed2-8d8e-9b42f662049d/product,ff7b18de-3a76-4ed2-8d8e-9b42f662049d,덫밥
초청 작가,,,,,https://www.idus.com/v2/artist/5037e34e-598a-445b-8f42-d63a29e9c3e9/product,5037e34e-598a-445b-8f42-d63a29e9c3e9,덴브 판타지 공방
초청 작가,,,,,https://www.idus.com/v2/artist/babc585d-7d41-41e5-aeeb-2beb35e0ad02/product,babc585d-7d41-41e5-aeeb-2beb35e0ad02,도로시패브릭
초청 작가,,,,,https://www.idus.com/v2/artist/012593e6-993c-465e-9517-7677719815a1/product,012593e6-993c-465e-9517-7677719815a1,라부아뜰리에
초청 작가,,,,,https://www.idus.com/v2/artist/8bb04861-9267-4e2a-8893-2fff42996e07/product,8bb04861-9267-4e2a-8893-2fff42996e07,루비나[Rubeena]
초청 작가,,,,,https://www.idus.com/v2/artist/a476b0a8-7d95-4a0b-b66d-cc5160c883bc/product,a476b0a8-7d95-4a0b-b66d-cc5160c883bc,룩스투아
초청 작가,,,,,https://www.idus.com/v2/artist/83110eb8-6d26-4526-a894-c6f652cb1890/product,83110eb8-6d26-4526-a894-c6f652cb1890,메이드민스
초청 작가,,,,,https://www.idus.com/v2/artist/9cdc7fe7-5b3d-47a6-b8c9-e1eb544eb32b/product,9cdc7fe7-5b3d-47a6-b8c9-e1eb544eb32b,메이드인 루벤스 (MDRU)
초청 작가,,,,,https://www.idus.com/v2/artist/15f35504-d44c-4c05-928f-179e394b0ead/product,15f35504-d44c-4c05-928f-179e394b0ead,모멘토퍼 momentopper
초청 작가,,,,,https://www.idus.com/v2/artist/9117de25-cb3b-4e7a-9956-44d8826b45a2/product,9117de25-cb3b-4e7a-9956-44d8826b45a2,몽미엘(monmiel)
초청 작가,,,,,https://www.idus.com/v2/artist/e4a89746-e93d-48cc-9d59-01567ad5fbd3/product,e4a89746-e93d-48cc-9d59-01567ad5fbd3,바라믐
초청 작가,,,,,https://www.idus.com/v2/artist/e3a40014-a0c9-4204-b1be-f714db52cde6/product,e3a40014-a0c9-4204-b1be-f714db52cde6,바이올렛토퍼
초청 작가,,,,,https://www.idus.com/v2/artist/8d3baacb-0bda-4c09-b337-936580aa4fc3/product,8d3baacb-0bda-4c09-b337-936580aa4fc3,반월상점 (halfmoon)
초청 작가,,,,,https://www.idus.com/v2/artist/f7abdabf-aab3-4e6f-a835-28bc32a4dc56/profile?srsltid=AfmBOoo-kcAbJqPot8o_VkyufIQmCACPCYzXhVTCrK2bJXCLIiq9TLhL,f7abdabf-aab3-4e6f-a835-28bc32a4dc56,방구석 찌랭이
초청 작가,,,,,https://www.idus.com/v2/artist/2e568d25-2a74-40e8-80e9-82de2dcd275d/product,2e568d25-2a74-40e8-80e9-82de2dcd275d,별빛잠든후
초청 작가,,,,,https://www.idus.com/v2/artist/927720b2-1d56-4fd6-96db-a505e71ab120/product,927720b2-1d56-4fd6-96db-a505e71ab120,보도니
초청 작가,,,,,https://www.idus.com/v2/artist/41fa165b-ba10-4c16-b236-5212aa945d6b/product,41fa165b-ba10-4c16-b236-5212aa945d6b,블로우캔들
초청 작가,,,,,https://www.idus.com/v2/artist/258cef68-b0c9-46ac-8ed2-7e2f7874aff6/product,258cef68-b0c9-46ac-8ed2-7e2f7874aff6,비단가게
초청 작가,,,,,https://www.idus.com/v2/artist/2fbfa9b4-18a0-4783-af7b-87450e36ba1b/product,2fbfa9b4-18a0-4783-af7b-87450e36ba1b,뽕빵구리
초청 작가,,,,,https://www.idus.com/v2/artist/17edc306-76d4-433e-b606-8b3c37c074f7/product,17edc306-76d4-433e-b606-8b3c37c074f7,세이메모리
초청 작가,,,,,https://www.idus.com/v2/artist/c6efdcdc-e747-4224-b09b-3e0f6da9397c/product,c6efdcdc-e747-4224-b09b-3e0f6da9397c,소심한곰손
초청 작가,,,,,https://www.idus.com/v2/artist/d9bf9405-b53f-44c0-8f13-ac7cff9e90d1/product,d9bf9405-b53f-44c0-8f13-ac7cff9e90d1,소정원
초청 작가,,,,,https://www.idus.com/v2/artist/1f9d9e4c-ba32-4eaa-b62c-16663f35cbe8/product,1f9d9e4c-ba32-4eaa-b62c-16663f35cbe8,솜솜당
초청 작가,,,,,https://www.idus.com/v2/artist/e6c2712c-453d-4ecf-8d82-fe4b6167a8f5/product,e6c2712c-453d-4ecf-8d82-fe4b6167a8f5,시케
초청 작가,,,,,https://www.idus.com/v2/artist/a13ad97f-8917-469f-867b-d19c2d6dd5c1/product,a13ad97f-8917-469f-867b-d19c2d6dd5c1,아비엥또
초청 작가,,,,,https://www.idus.com/v2/artist/58510d38-ec10-4816-9e23-32040f9d525e/product,58510d38-ec10-4816-9e23-32040f9d525e,아트핑고
초청 작가,,,,,https://www.idus.com/v2/artist/9f894ea5-1c89-4760-b327-075069e01b5b/product,9f894ea5-1c89-4760-b327-075069e01b5b,옐로우 페이퍼 커피
초청 작가,,,,,https://www.idus.com/v2/artist/f8a5505d-ae5b-4cfb-906c-d38444751bef/product,f8a5505d-ae5b-4cfb-906c-d38444751bef,오소리앤코
초청 작가,,,,,https://www.idus.com/v2/artist/31e58688-1a1f-4ce5-bded-8a14e159d61f/product,31e58688-1a1f-4ce5-bded-8a14e159d61f,자늘 JANEUL
초청 작가,,,,,https://www.idus.com/v2/artist/e9074239-80a5-47b7-a4a9-c8baabbb9a8b/product,e9074239-80a5-47b7-a4a9-c8baabbb9a8b,작벼리공방
초청 작가,,,,,https://www.idus.com/v2/artist/66ef518b-28cc-4e86-9701-d927751f6a08/product,66ef518b-28cc-4e86-9701-d927751f6a08,제주에서국화
초청 작가,,,,,https://www.idus.com/v2/artist/8ab734bc-57a4-4b12-9124-91e837b8bb0f/product,8ab734bc-57a4-4b12-9124-91e837b8bb0f,주는행복 갤러리
초청 작가,,,,,https://www.idus.com/v2/artist/7d8ffd08-1827-4542-953b-80a87a659246/product,7d8ffd08-1827-4542-953b-80a87a659246,치타박스
초청 작가,,,,,https://www.idus.com/v2/artist/10d32afe-4968-4ffd-918a-3d0be31af083/product,10d32afe-4968-4ffd-918a-3d0be31af083,캔루 canroo
초청 작가,,,,,https://www.idus.com/v2/artist/b030dd90-3607-4491-b584-365b8b59ddef/product,b030dd90-3607-4491-b584-365b8b59ddef,컵 만드는 라모
초청 작가,,,,,https://www.idus.com/v2/artist/b5f55f6c-79a8-4ce4-9968-7fc1cd3f4e1d/product,b5f55f6c-79a8-4ce4-9968-7fc1cd3f4e1d,코튼스티치(cotton stitch)
초청 작가,,,,,https://www.idus.com/v2/artist/15eb09bb-9858-47e3-80f6-aab7b1c12b88/product,15eb09bb-9858-47e3-80f6-aab7b1c12b88,키스텔라
초청 작가,,,,,https://www.idus.com/v2/artist/1ca411ae-6e12-4c73-8a16-d0aa9bbe38e2/product,1ca411ae-6e12-4c73-8a16-d0aa9bbe38e2,파피미스트
초청 작가,,,,,https://www.idus.com/v2/artist/42a01493-5c17-46ec-9051-2aa0c51eb434/product,42a01493-5c17-46ec-9051-2aa0c51eb434,팔공산얼큰이
초청 작가,,,,,https://www.idus.com/v2/artist/f9fc2c47-c77d-47b6-b61e-743c5350b22d/product,f9fc2c47-c77d-47b6-b61e-743c5350b22d,팔렛트엔 제이
초청 작가,,,,,https://www.idus.com/v2/artist/0692faf0-ebbf-4c0c-9b0f-31c3a9632f8c/product,0692faf0-ebbf-4c0c-9b0f-31c3a9632f8c,한울
초청 작가,,,,,https://www.idus.com/v2/artist/b987fcad-fa10-4f28-a90d-8553dbaab0ad/product,b987fcad-fa10-4f28-a90d-8553dbaab0ad,해달자개
초청 작가,,,,,https://www.idus.com/v2/artist/386ad834-f247-4dbe-b775-d34bb64d9377/product,386ad834-f247-4dbe-b775-d34bb64d9377,핸드메이드 주얼스쿨 (주얼쌤)
초청 작가,,,,,https://www.idus.com/v2/artist/662a4024-9c27-424f-a0b7-b4224d9caf85/product,662a4024-9c27-424f-a0b7-b4224d9caf85,행복공작소
초청 작가,,,,,https://www.idus.com/v2/artist/cb3f503e-76e5-11e4-9f64-06fd000000c2/product,cb3f503e-76e5-11e4-9f64-06fd000000c2,Auming_어밍